LSU,UAA,res,x,y
NA,NA,1000,4715000,1450000
560,410,5000,4710000,1450000
250,50,5000,4715000,1445000
2760,1040,5000,4715,1440
2240,1170,5000,4720,1435
4060,980,5000,4725,1435
950,350,5000,4730,1435
110,110,5000,4735,1435
2590,280,5000,4720,1430
4120,1270,5000,4725,1430
4570,810,5000,4730,1430
390,140,5000,4735,1430
NA,NA,5000,4725,1425
10,30,5000,4730,1425
6650,1910,10000,4700,1450
280,470,10000,4710,1430
2260,770,20000,4720,1440
NA,NA,1000,6473,1686
NA,NA,1000,6451,1675
NA,NA,1000,6441,1670
NA,NA,1000,6455,1664
5980,1920,1000,6455,1663
NA,NA,1000,6456,1663
760,580,1000,6455,1662
NA,NA,1000,6455,1661
NA,NA,1000,6458,1661
NA,NA,1000,6459,1661
NA,NA,1000,6455,1660
NA,NA,1000,6458,1660
NA,NA,1000,6396,1650
NA,NA,5000,6475,1670
7370,2730,5000,6450,1660
3910,1050,5000,6430,1655
2800,1270,5000,6435,1655
4750,590,5000,6440,1655
6120,1540,5000,6445,1655
600,410,5000,6460,1655
990,780,5000,6465,1655
NA,NA,5000,6470,1655
360,1250,5000,6430,1650
5360,1080,5000,6435,1650
4500,1600,5000,6440,1650
1230,1050,5000,6445,1650
32470,2810,5000,6460,1650
1020,460,5000,6465,1650
0,10,5000,6380,1640
60,520,5000,6360,1615
110,1340,5000,6365,1615
60,300,5000,6390,1615
230,350,5000,6395,1615
NA,NA,5000,6440,1615
130,470,5000,6360,1610
250,900,5000,6365,1610
620,390,5000,6390,1610
700,870,5000,6395,1610
160,340,5000,6370,1605
230,480,5000,6375,1605
670,730,5000,6380,1605
370,260,5000,6385,1605
400,240,5000,6400,1605
110,190,5000,6405,1605
560,540,5000,6410,1605
1720,770,5000,6415,1605
1750,1040,5000,6370,1600
970,770,5000,6375,1600
290,270,5000,6380,1600
710,460,5000,6385,1600
1290,370,5000,6400,1600
160,230,5000,6405,1600
780,710,5000,6410,1600
70,490,5000,6415,1600
60,410,5000,6415,1595
8570,2220,10000,6440,1660
3180,3190,10000,6460,1660
12050,4920,10000,6470,1660
1400,3870,10000,6420,1650
4380,1790,10000,6450,1650
230,840,10000,6390,1640
750,980,10000,6420,1640
790,1510,10000,6430,1640
2660,1580,10000,6440,1640
4200,3700,10000,6450,1640
9580,3880,10000,6460,1640
10,90,10000,6380,1630
10,180,10000,6390,1630
150,550,10000,6400,1630
340,780,10000,6410,1630
240,410,10000,6460,1630
0,230,10000,6380,1620
20,690,10000,6390,1620
70,790,10000,6400,1620
90,900,10000,6410,1620
1370,3000,10000,6370,1610
620,1100,10000,6380,1610
1010,920,10000,6400,1610
420,1330,10000,6410,1610
400,1700,10000,6360,1600
3600,2440,10000,6390,1600
140,290,10000,6380,1590
890,670,10000,6390,1590
990,1940,20000,6400,1660
14650,6880,20000,6420,1660
660,350,20000,6360,1640
28790,10450,20000,6400,1640
2050,3670,20000,6340,1620
2180,5910,20000,6360,1620
9800,3010,20000,6420,1620
13170,10240,20000,6440,1620
700,1120,20000,6340,1600
990,1020,20000,6420,1600
370,1400,20000,6360,1580
7430,10840,40000,6480,1640
NA,NA,1000,3189,3710
NA,NA,1000,3250,3700
NA,NA,1000,3129,3670
NA,NA,1000,3123,3624
NA,NA,1000,3235,3593
NA,NA,1000,3212,3590
NA,NA,1000,3242,3580
NA,NA,1000,3245,3576
NA,NA,1000,3245,3574
NA,NA,1000,2999,3553
NA,NA,1000,2999,3460
NA,NA,1000,3242,3458
NA,NA,1000,3255,3436
NA,NA,1000,2975,3429
NA,NA,1000,2934,3423
NA,NA,1000,2945,3384
NA,NA,5000,3190,3710
160,230,5000,3240,3710
130,130,5000,3170,3705
NA,NA,5000,3175,3705
380,530,5000,3180,3705
810,1080,5000,3185,3705
620,920,5000,3190,3705
350,570,5000,3195,3705
1180,1110,5000,3240,3705
260,840,5000,3170,3700
610,880,5000,3175,3700
760,990,5000,3180,3700
1010,1240,5000,3185,3700
550,820,5000,3190,3700
320,500,5000,3195,3700
2200,1670,5000,3240,3700
1030,980,5000,3245,3700
160,310,5000,3160,3695
170,190,5000,3165,3695
660,1070,5000,3190,3695
580,940,5000,3195,3695
1330,1240,5000,3240,3695
1340,1400,5000,3245,3695
130,600,5000,3160,3690
130,430,5000,3165,3690
610,840,5000,3190,3690
730,1030,5000,3195,3690
1260,890,5000,3240,3690
780,550,5000,3245,3690
250,830,5000,3160,3685
310,940,5000,3165,3685
NA,NA,5000,3180,3685
380,570,5000,3185,3685
1030,1390,5000,3190,3685
1590,1690,5000,3195,3685
650,670,5000,3160,3680
190,720,5000,3165,3680
270,890,5000,3180,3680
910,1490,5000,3185,3680
1340,1610,5000,3190,3680
2620,1640,5000,3195,3680
120,430,5000,3150,3675
430,850,5000,3155,3675
200,380,5000,3160,3675
460,1310,5000,3165,3675
280,770,5000,3170,3675
330,1150,5000,3175,3675
510,1680,5000,3180,3675
870,1790,5000,3185,3675
1310,1280,5000,3190,3675
1340,1280,5000,3195,3675
1080,980,5000,3200,3675
3490,1890,5000,3205,3675
1910,1440,5000,3210,3675
2390,2080,5000,3215,3675
NA,NA,5000,3220,3675
420,1520,5000,3150,3670
380,1310,5000,3155,3670
370,1120,5000,3160,3670
960,1650,5000,3165,3670
390,1510,5000,3170,3670
660,2130,5000,3175,3670
580,1610,5000,3180,3670
540,1830,5000,3185,3670
1200,1580,5000,3190,3670
960,1240,5000,3195,3670
2480,1660,5000,3200,3670
3670,2590,5000,3205,3670
3270,2270,5000,3210,3670
1340,820,5000,3215,3670
480,550,5000,3130,3665
490,960,5000,3135,3665
370,1500,5000,3140,3665
680,1900,5000,3145,3665
680,1740,5000,3150,3665
550,1770,5000,3155,3665
390,1620,5000,3160,3665
520,1870,5000,3165,3665
1200,1880,5000,3180,3665
900,1380,5000,3185,3665
1170,1510,5000,3190,3665
2780,2000,5000,3195,3665
4370,2110,5000,3200,3665
8070,2030,5000,3205,3665
2110,1410,5000,3210,3665
360,1020,5000,3130,3660
610,1280,5000,3135,3660
310,900,5000,3140,3660
500,1550,5000,3145,3660
380,1520,5000,3150,3660
430,1730,5000,3155,3660
460,1400,5000,3160,3660
460,1980,5000,3165,3660
840,1780,5000,3180,3660
980,1170,5000,3185,3660
1590,1270,5000,3190,3660
3280,2050,5000,3195,3660
4240,2080,5000,3200,3660
5150,2140,5000,3205,3660
880,700,5000,3210,3660
600,550,5000,3130,3655
650,1390,5000,3135,3655
530,1050,5000,3140,3655
600,1210,5000,3145,3655
630,1300,5000,3150,3655
560,1540,5000,3155,3655
440,1310,5000,3160,3655
630,1360,5000,3165,3655
340,940,5000,3180,3655
770,1310,5000,3185,3655
4300,2190,5000,3200,3655
970,440,5000,3205,3655
NA,NA,5000,3135,3650
150,340,5000,3140,3650
340,720,5000,3145,3650
510,860,5000,3150,3650
720,1180,5000,3155,3650
800,1400,5000,3160,3650
1170,1380,5000,3165,3650
240,430,5000,3185,3650
1030,800,5000,3200,3650
590,460,5000,3160,3645
1450,1530,5000,3165,3645
600,860,5000,3030,3640
920,1200,5000,3035,3640
1450,1590,5000,3160,3640
1090,1470,5000,3165,3640
680,1390,5000,3180,3640
